Source Name	Cell ID	Centroids RAW X	Centroids RAW Y	Centroids RAW Z	Centroids TFOR X	Centroids TFOR Y	Centroids TFOR Z	Longest Extension	Major Axis Length	Major/Medium Axis Eccentricity	Major/Minor Axis Eccentricity	Medium Axis Length	Medium/Minor Axis Eccentricity	Minor Axis Length	Orientation along X	Orientation along Y	Orientation along Z	Roundness (Smoothness)	Sphericity	Surface Area	Volume	X Axis Length	Y Axis Length	Y/X Aspect Ratio	Z Axis Length	Z/X Aspect Ratio	Z/Y Aspect Ratio
7E8CA9482F	69	114.55830140457573	33.96665805097017	15.213529901534898	-27.90620593994675	-1.6242908613864722	-1.1851291950984493	7.2124561402691185	13.175482822530704	0.7840931412103895	0.8581343850984839	8.177273440531954	0.5618385512054792	6.764624147723518	-0.5887878470095375	0.12060550284982613	0.7992391281063597	0.8714290010583049	0.8050309606698426	280.1775954580018	274.12710930000003	9.20962871517019	7.378131102128164	0.8011323073181913	12.188353510099251	1.3234359263606879	1.6519567545477223
7E8CA9482F	70	21.036493857820748	41.21613362011619	17.384325801587654	-121.62841275024806	0.7215002711293428	2.5885894283978184	8.968300415616493	15.487669878911607	0.5323165199947211	0.94056449366684	13.111015768448954	0.9160002541619758	5.259846944723557	0.4361141515391663	0.33816197160462685	-0.833937004687851	0.8146003655007041	0.7640566410117454	349.4399213447232	298.35371115000004	12.472150742053728	8.573839129819746	0.6874387030065621	12.531198535527924	1.0047343713763095	1.4615621247131303
7E8CA9482F	71	67.75227211029538	33.05843033976439	18.14486992060782	-74.65858723138365	-5.27391580091733	-0.12820367231787858	7.428632765380335	14.005812008172633	0.5827024887358727	0.9089666827608199	11.382321090570928	0.858417226710524	5.838585594955466	0.045104435626863594	0.42179222644502196	-0.9055699352326873	0.8421643474078782	0.774370796159979	340.94034647649755	309.98406780000005	10.142199186881754	9.625660997701221	0.9490703959109145	13.664253175137453	1.347267286252003	1.4195651787862382
7E8CA9482F	72	91.00817192087425	44.826940005548906	16.691091623220935	-51.82364784000268	6.1375330784816375	5.330051044724936	6.34831758584536	11.206291512447006	0.19821353702591482	0.5703629317529011	11.433137986953302	0.5456394087742759	9.391097183457386	-0.7051801160655898	-0.4818288970258408	0.5201556669849738	0.9215096015343618	0.9228824657464506	384.6994857072375	532.5375800250001	11.048761284613548	10.97047526868838	0.9929144983850644	9.169679071393208	0.8299282458172809	0.8358506670686408
7E8CA9482F	73	127.71132127335832	28.857701033285927	19.02460443746084	-14.59169238526971	-7.599980435826692	-0.3835523068554749	6.580422820374151	11.262840608554246	0.6000229362642853	0.7790298292291159	9.010078735440473	0.621075890818148	7.061653090818498	0.3240590642741856	0.4320296010553682	-0.8416270829017318	0.8178849383654306	0.812158444821721	260.62632333569667	221.74198942500004	8.827251377652118	7.064399755254266	0.8002943898413442	10.168365031802411	1.1519287937744223	1.4393813181706654
7E8CA9482F	74	101.49721312823888	32.033902772065474	15.63382114307507	-40.892929954563485	-3.8568079283984527	-2.115226809217731	7.314992541140871	12.032119095923427	0.5645580620501729	0.818648889990234	9.931231178198374	0.7182524337120516	6.909977957447168	-0.735902504602857	0.14729263815461008	-0.6608724403882319	0.8493366829366037	0.817691733313175	301.6653380839749	294.89812357500006	10.032165327078296	6.975267514366844	0.6952903273573021	11.804361079473171	1.1766513703289416	1.692316610819574
7E8CA9482F	75	94.81296071421347	31.763965472602603	16.95671319707114	-47.56664892393606	-4.975206794912727	-1.2709525884884627	7.399063525480423	13.436499186849405	0.6377818406477691	0.7942764017814602	10.349020937239402	0.614634352187756	8.163433489505831	0.20993705154598707	0.4524640299191262	0.8667195255776355	0.8769756539034493	0.829761829210713	393.29114821766586	436.0964751000001	10.008300229701206	8.250128019244034	0.8243285902595608	13.381342112769032	1.337024450271565	1.6219556934820964
7E8CA9482F	76	72.1495223524185	35.534173154884215	19.48065827935601	-70.35324848143414	-3.755567388305935	2.403222618123936	8.433973553809784	14.54518583631129	0.6500401037612309	0.784524008180062	11.052885314960387	0.5780145173475112	9.01944710875004	0.2133825994022769	0.04675811025365698	-0.9758491406963652	0.8295302429540683	0.7830633607056638	415.481180374033	436.8043523250001	10.218244225668883	10.390106034866783	1.016819113480002	14.37314988107966	1.4066163974602788	1.3833496821732818
7E8CA9482F	77	65.84262200314281	39.68273914722898	18.55183279051189	-76.79877397842321	0.07550485369225077	3.6793084857341274	6.9071127568013475	13.259383765991762	0.6403045552048335	0.8647799024948003	10.18481289522132	0.756719711943389	6.658214051127178	0.28872650197258787	0.20119300858551686	-0.936033322246052	0.8075208864077674	0.8066789504360741	300.13425195766274	251.19938497500004	11.403912753698535	8.495184080001703	0.7449359060771955	10.989948202310561	0.9636997791609976	1.2936680475449283
7E8CA9482F	78	90.9380738689969	29.961272885204732	20.522463579519947	-51.3843076240708	-8.500163449839544	0.7238373874233126	8.482344418811557	12.837969570678254	0.5723436338281059	0.594879848836479	10.52731325011905	0.19778633947204594	10.319347808689262	0.20193869523611271	0.8861153380997818	0.41715748938577824	0.7720385180007847	0.7729564611219875	395.64155879353405	338.92323547500007	10.899415508773856	11.406462947269109	1.0465206082002367	13.540145626710071	1.242281810048481	1.1870590988025609
7E8CA9482F	79	117.01758530730226	29.012517918820276	20.455782891997156	-25.28749054978894	-8.52920192971878	0.6956501707419398	8.33107641912783	12.81351146490741	0.5931978616226047	0.8011505131889146	10.315603309079757	0.6688695226797491	7.668411364724646	-0.4140725404695193	0.48444616549070346	0.770620427947814	0.7909075049846694	0.7952628862902554	319.9446384174037	270.07170052500004	11.570055807608483	10.146543892473423	0.87696585575681	12.493904909602174	1.079848283997573	1.2313458692934836
7E8CA9482F	80	39.74605983255763	32.18383569283272	19.93630253383182	-102.62124509356521	-7.758372440653773	0.36099285027561145	7.409953488667722	13.38428144069653	0.659642643820504	0.844650560861691	10.05935010732769	0.7019182595696349	7.164847633756818	0.45488921073463584	0.5213457349744223	0.7219933729482559	0.8187567800402	0.7811517539130808	371.0118013457443	317.92508302500005	11.771379052042079	8.607621170522842	0.731233029916712	11.022191346044217	0.9363551455878151	1.280515386038383
