Source Name	Spot Number	Z	Y	X	Spot Sigma
1D01C63CEE	1	106.0	352.0	723.0	1.6666666666666665
1D01C63CEE	2	106.0	206.0	830.0	1.3333333333333333
1D01C63CEE	3	104.0	771.0	600.0	1.3333333333333333
1D01C63CEE	4	104.0	619.0	90.0	1.3333333333333333
1D01C63CEE	5	104.0	286.0	421.0	1.3333333333333333
1D01C63CEE	6	103.0	544.0	1082.0	1.3333333333333333
1D01C63CEE	7	103.0	380.0	1499.0	1.3333333333333333
1D01C63CEE	8	103.0	279.0	458.0	1.3333333333333333
1D01C63CEE	9	103.0	177.0	1545.0	1.6666666666666665
1D01C63CEE	10	103.0	4.0	1356.0	1.3333333333333333
1D01C63CEE	11	102.0	768.0	1035.0	1.6666666666666665
1D01C63CEE	12	102.0	682.0	364.0	1.6666666666666665
1D01C63CEE	13	102.0	590.0	551.0	1.3333333333333333
1D01C63CEE	14	102.0	569.0	600.0	1.3333333333333333
1D01C63CEE	15	102.0	545.0	1059.0	1.3333333333333333
1D01C63CEE	16	102.0	540.0	582.0	1.6666666666666665
1D01C63CEE	17	102.0	487.0	353.0	1.3333333333333333
1D01C63CEE	18	102.0	395.0	893.0	1.3333333333333333
1D01C63CEE	19	102.0	385.0	944.0	1.6666666666666665
1D01C63CEE	20	102.0	357.0	875.0	1.3333333333333333
1D01C63CEE	21	102.0	339.0	804.0	1.3333333333333333
1D01C63CEE	22	102.0	319.0	1079.0	1.3333333333333333
1D01C63CEE	23	102.0	306.0	883.0	1.3333333333333333
1D01C63CEE	24	102.0	232.0	820.0	2.0
1D01C63CEE	25	102.0	126.0	453.0	1.3333333333333333
1D01C63CEE	26	102.0	13.0	1329.0	1.3333333333333333
1D01C63CEE	27	101.0	779.0	1006.0	2.0
1D01C63CEE	28	101.0	591.0	558.0	1.6666666666666665
1D01C63CEE	29	101.0	582.0	561.0	1.3333333333333333
1D01C63CEE	30	101.0	581.0	621.0	1.3333333333333333
1D01C63CEE	31	101.0	385.0	926.0	1.3333333333333333
1D01C63CEE	32	101.0	370.0	169.0	1.6666666666666665
1D01C63CEE	33	101.0	356.0	866.0	1.3333333333333333
1D01C63CEE	34	101.0	336.0	826.0	1.3333333333333333
1D01C63CEE	35	101.0	334.0	1061.0	1.3333333333333333
1D01C63CEE	36	101.0	298.0	955.0	1.3333333333333333
1D01C63CEE	37	101.0	279.0	481.0	1.3333333333333333
1D01C63CEE	38	101.0	232.0	1386.0	1.6666666666666665
1D01C63CEE	39	101.0	197.0	1346.0	1.3333333333333333
1D01C63CEE	40	101.0	144.0	666.0	1.3333333333333333
1D01C63CEE	41	101.0	127.0	185.0	1.3333333333333333
1D01C63CEE	42	101.0	35.0	1484.0	1.3333333333333333
1D01C63CEE	43	101.0	10.0	703.0	2.0
1D01C63CEE	44	100.0	779.0	1059.0	1.3333333333333333
1D01C63CEE	45	100.0	737.0	260.0	1.6666666666666665
1D01C63CEE	46	100.0	692.0	725.0	1.6666666666666665
1D01C63CEE	47	100.0	561.0	166.0	1.6666666666666665
1D01C63CEE	48	100.0	506.0	304.0	1.3333333333333333
1D01C63CEE	49	100.0	460.0	986.0	1.3333333333333333
1D01C63CEE	50	100.0	425.0	406.0	1.3333333333333333
1D01C63CEE	51	100.0	409.0	661.0	1.3333333333333333
1D01C63CEE	52	100.0	408.0	1326.0	1.3333333333333333
1D01C63CEE	53	100.0	369.0	137.0	1.6666666666666665
1D01C63CEE	54	100.0	365.0	1084.0	1.3333333333333333
1D01C63CEE	55	100.0	355.0	1088.0	1.3333333333333333
1D01C63CEE	56	100.0	351.0	880.0	1.3333333333333333
1D01C63CEE	57	100.0	336.0	181.0	1.3333333333333333
1D01C63CEE	58	100.0	271.0	1009.0	1.3333333333333333
1D01C63CEE	59	100.0	266.0	847.0	1.6666666666666665
1D01C63CEE	60	100.0	265.0	1011.0	1.3333333333333333
1D01C63CEE	61	100.0	245.0	1350.0	1.3333333333333333
1D01C63CEE	62	100.0	225.0	743.0	1.3333333333333333
1D01C63CEE	63	100.0	197.0	909.0	1.6666666666666665
1D01C63CEE	64	100.0	164.0	434.0	1.6666666666666665
1D01C63CEE	65	100.0	140.0	674.0	1.3333333333333333
1D01C63CEE	66	100.0	122.0	336.0	1.6666666666666665
1D01C63CEE	67	99.0	769.0	316.0	1.3333333333333333
1D01C63CEE	68	99.0	762.0	265.0	1.3333333333333333
1D01C63CEE	69	99.0	733.0	699.0	1.6666666666666665
1D01C63CEE	70	99.0	691.0	551.0	1.3333333333333333
1D01C63CEE	71	99.0	672.0	697.0	1.3333333333333333
1D01C63CEE	72	99.0	574.0	566.0	1.3333333333333333
1D01C63CEE	73	99.0	531.0	350.0	1.6666666666666665
1D01C63CEE	74	99.0	468.0	963.0	1.3333333333333333
1D01C63CEE	75	99.0	459.0	418.0	1.6666666666666665
1D01C63CEE	76	99.0	459.0	404.0	1.6666666666666665
1D01C63CEE	77	99.0	418.0	1350.0	1.3333333333333333
1D01C63CEE	78	99.0	406.0	409.0	1.6666666666666665
1D01C63CEE	79	99.0	399.0	917.0	1.3333333333333333
1D01C63CEE	80	99.0	383.0	1143.0	1.3333333333333333
1D01C63CEE	81	99.0	383.0	997.0	1.3333333333333333
1D01C63CEE	82	99.0	364.0	1170.0	1.3333333333333333
1D01C63CEE	83	99.0	359.0	1505.0	1.3333333333333333
1D01C63CEE	84	99.0	357.0	1120.0	1.3333333333333333
1D01C63CEE	85	99.0	350.0	792.0	1.3333333333333333
1D01C63CEE	86	99.0	344.0	1136.0	1.3333333333333333
1D01C63CEE	87	99.0	324.0	1067.0	1.3333333333333333
1D01C63CEE	88	99.0	316.0	953.0	1.3333333333333333
1D01C63CEE	89	99.0	129.0	143.0	1.3333333333333333
1D01C63CEE	90	99.0	58.0	1449.0	1.6666666666666665
1D01C63CEE	91	99.0	3.0	47.0	1.3333333333333333
1D01C63CEE	92	98.0	745.0	528.0	1.3333333333333333
1D01C63CEE	93	98.0	740.0	599.0	1.6666666666666665
1D01C63CEE	94	98.0	685.0	286.0	1.3333333333333333
1D01C63CEE	95	98.0	651.0	1358.0	1.6666666666666665
1D01C63CEE	96	98.0	581.0	681.0	1.3333333333333333
1D01C63CEE	97	98.0	555.0	178.0	1.3333333333333333
1D01C63CEE	98	98.0	552.0	1302.0	1.3333333333333333
1D01C63CEE	99	98.0	530.0	685.0	1.3333333333333333
1D01C63CEE	100	98.0	509.0	1327.0	1.3333333333333333
1D01C63CEE	101	98.0	483.0	1005.0	1.3333333333333333
1D01C63CEE	102	98.0	420.0	925.0	1.3333333333333333
1D01C63CEE	103	98.0	389.0	1131.0	1.3333333333333333
1D01C63CEE	104	98.0	385.0	1042.0	1.3333333333333333
1D01C63CEE	105	98.0	379.0	867.0	1.3333333333333333
1D01C63CEE	106	98.0	370.0	1114.0	1.3333333333333333
1D01C63CEE	107	98.0	364.0	1117.0	1.3333333333333333
1D01C63CEE	108	98.0	364.0	857.0	1.6666666666666665
1D01C63CEE	109	98.0	361.0	869.0	1.6666666666666665
1D01C63CEE	110	98.0	339.0	369.0	1.3333333333333333
1D01C63CEE	111	98.0	338.0	1129.0	1.3333333333333333
1D01C63CEE	112	98.0	336.0	1093.0	1.3333333333333333
1D01C63CEE	113	98.0	331.0	796.0	1.3333333333333333
1D01C63CEE	114	98.0	314.0	1127.0	1.3333333333333333
1D01C63CEE	115	98.0	309.0	834.0	1.3333333333333333
1D01C63CEE	116	98.0	272.0	55.0	1.6666666666666665
1D01C63CEE	117	98.0	270.0	869.0	1.3333333333333333
1D01C63CEE	118	98.0	141.0	656.0	1.6666666666666665
1D01C63CEE	119	98.0	107.0	939.0	1.3333333333333333
1D01C63CEE	120	98.0	94.0	891.0	1.3333333333333333
