Source Name	Cell ID	Predicted Archetype
4A644B6C69	1	1
4A644B6C69	2	1
4A644B6C69	3	1
4A644B6C69	4	1
4A644B6C69	5	1
4A644B6C69	6	1
4A644B6C69	7	1
4A644B6C69	8	1
4A644B6C69	9	1
4A644B6C69	10	1
4A644B6C69	11	1
4A644B6C69	12	1
4A644B6C69	13	2
4A644B6C69	14	2
4A644B6C69	15	1
4A644B6C69	16	1
4A644B6C69	17	1
4A644B6C69	18	1
4A644B6C69	19	1
4A644B6C69	20	1
4A644B6C69	21	1
4A644B6C69	22	1
4A644B6C69	23	2
4A644B6C69	24	1
4A644B6C69	25	1
4A644B6C69	26	1
4A644B6C69	27	1
4A644B6C69	28	1
4A644B6C69	29	1
4A644B6C69	30	1
4A644B6C69	31	2
4A644B6C69	32	1
4A644B6C69	33	2
4A644B6C69	34	1
4A644B6C69	35	1
4A644B6C69	36	1
4A644B6C69	37	4
4A644B6C69	38	1
4A644B6C69	39	1
4A644B6C69	40	4
4A644B6C69	41	1
4A644B6C69	42	1
4A644B6C69	43	2
4A644B6C69	44	1
4A644B6C69	45	2
4A644B6C69	46	1
4A644B6C69	47	2
4A644B6C69	48	2
4A644B6C69	49	3
4A644B6C69	50	1
4A644B6C69	51	1
4A644B6C69	52	2
4A644B6C69	53	1
4A644B6C69	54	2
4A644B6C69	55	2
4A644B6C69	56	2
4A644B6C69	57	1
4A644B6C69	58	1
4A644B6C69	59	1
4A644B6C69	60	1
4A644B6C69	61	2
4A644B6C69	62	1
4A644B6C69	63	4
4A644B6C69	64	4
4A644B6C69	65	4
4A644B6C69	66	1
4A644B6C69	67	2
4A644B6C69	68	2
4A644B6C69	69	2
4A644B6C69	70	2
4A644B6C69	71	2
4A644B6C69	72	3
4A644B6C69	73	2
4A644B6C69	74	2
4A644B6C69	75	1
4A644B6C69	76	1
4A644B6C69	77	2
4A644B6C69	78	2
4A644B6C69	79	2
4A644B6C69	80	2
4A644B6C69	81	2
4A644B6C69	82	2
4A644B6C69	83	2
4A644B6C69	84	2
4A644B6C69	85	4
4A644B6C69	86	2
4A644B6C69	87	3
4A644B6C69	88	2
4A644B6C69	89	2
4A644B6C69	90	2
4A644B6C69	91	2
4A644B6C69	92	2
4A644B6C69	93	2
4A644B6C69	94	2
4A644B6C69	95	2
4A644B6C69	96	2
4A644B6C69	97	2
4A644B6C69	98	2
4A644B6C69	99	4
4A644B6C69	100	2
4A644B6C69	101	3
4A644B6C69	102	3
4A644B6C69	103	3
