Source Name	Cell ID	archetype 1	archetype 2	archetype 3	archetype 4
622ABBE65A	1	0.006945986626671773	0.8979328325483446	0.09250779798683513	0.0026133828381485016
622ABBE65A	2	0.27655293881984283	0.26787851982256444	0.23003226917899208	0.22553627217860098
622ABBE65A	3	0.8338073180065377	0.09175057982012833	0.07122718452191955	0.0032149176514146794
622ABBE65A	4	0.024012561224021543	0.6427016506791231	0.321578349585099	0.011707438511756442
622ABBE65A	5	0.01999446842168786	0.900532286695981	0.07560634097602308	0.00386690390630828
622ABBE65A	6	0.058436403174648044	0.3733645804929182	0.11088780787486323	0.45731120845757034
622ABBE65A	7	0.08845378655854283	0.4808979064868684	0.4041360135675655	0.026512293387023055
622ABBE65A	8	0.005046996985956201	0.8630950731989697	0.1191422100816412	0.012715719733433002
622ABBE65A	9	0.22747298108764988	0.3790494130586492	0.3256687647469963	0.06780884110670461
622ABBE65A	10	0.01834929133721769	0.25676135799081556	0.08578270166546059	0.6391066490065062
622ABBE65A	11	0.0042537231152035655	0.9075719287068287	0.08209322814080099	0.006081120037166765
622ABBE65A	12	0.8091565948074704	0.14312259034574565	0.02963981646339174	0.01808099838339202
622ABBE65A	13	0.9700506527619589	0.004615606944979899	0.018097775972747452	0.007235964320313652
622ABBE65A	14	0.006708223220698154	0.9197218482120758	0.07231961825288037	0.0012503103143457041
622ABBE65A	15	0.01988990496911345	0.3200332531871315	0.4676306486317498	0.1924461932120054
622ABBE65A	16	0.133460888854487	0.48076061858268987	0.2093366558544095	0.1764418367084135
622ABBE65A	17	0.9610901426378046	0.012312203409860464	0.02458741394247408	0.0020102400098612415
622ABBE65A	18	0.09572782409677885	0.40295571189029716	0.47506285147201555	0.02625361254090882
622ABBE65A	19	0.7320672602978215	0.051826775963137846	0.11594153354626235	0.10016443019277826
622ABBE65A	20	0.7459846024292773	0.02214429891530183	0.20659503283284683	0.02527606582257377
622ABBE65A	21	0.4649690521691376	0.028736315144703137	0.49595529829136953	0.010339334394789698
622ABBE65A	22	0.7653720591551914	0.1296721330673908	0.10286153700445387	0.0020942707729641476
622ABBE65A	23	0.0027533451008253263	0.7881704770481657	0.18242435186854705	0.026651825982462206
622ABBE65A	24	0.013595103193930995	0.7002525319878818	0.21148084824441846	0.0746715165737692
622ABBE65A	25	0.8555470727232256	0.04667372795049476	0.08827898584710196	0.009500213479177533
622ABBE65A	26	0.007794651448746781	0.5214044163165508	0.4151384396828063	0.05566249255189595
622ABBE65A	27	0.004221427075391967	0.3295621417040916	0.3736035970616956	0.29261283415882106
622ABBE65A	28	0.9920648290494909	0.002396573571380718	0.004761289598437966	0.000777307780690522
622ABBE65A	29	0.000148124588246588	0.003578335658355361	0.005462085819359175	0.9908114539340387
622ABBE65A	30	0.43084437766370837	0.0750629751022304	0.16809693312931492	0.32599571410474637
622ABBE65A	31	0.050400468208021035	0.5571941159566439	0.34684225927466134	0.045563156560673716
622ABBE65A	32	0.0345070568636636	0.23993934325222702	0.06318378936896608	0.6623698105151431
622ABBE65A	33	0.1652940437949758	0.2537768029620838	0.4195557980981183	0.16137335514482204
622ABBE65A	34	0.21940080340788387	0.23735313406065872	0.53583271677629	0.007413345755167477
622ABBE65A	35	0.5960222485243303	0.03210536593267544	0.349527859910721	0.022344525632273522
622ABBE65A	36	0.8006081755589759	0.09891185027582207	0.07325955763497252	0.02722041653022944
622ABBE65A	37	0.917445871477601	0.029067076933761316	0.032448302107572824	0.021038749481064958
622ABBE65A	38	0.776624746647746	0.13155010957001406	0.08890320065178822	0.002921943130451748
622ABBE65A	39	0.3367821590925997	0.13579055518665997	0.4714602684484669	0.05596701727227361
622ABBE65A	40	0.012551732558344162	0.2242076508779937	0.2706339746302216	0.4926066419334407
622ABBE65A	41	0.18834008317548642	0.04651797966342558	0.6826015542439179	0.08254038291716985
622ABBE65A	42	0.2014770271221896	0.32292772911269096	0.4704504801193759	0.005144763645743725
622ABBE65A	43	0.0034694350219627453	0.23876994057872813	0.006627946926442143	0.7511326774728668
622ABBE65A	44	0.03805872143842286	0.5710914266351369	0.3829367743524072	0.007913077574032796
622ABBE65A	45	0.02495319299694617	0.9241184856686322	0.03673932081365509	0.014189000520766276
622ABBE65A	46	0.03227401632534016	0.3413839674779153	0.5881484491858247	0.038193567010920096
