Source Name	Cell ID	archetype 1	archetype 2	archetype 3	archetype 4
2140A358CC	1	0.8840995598351377	0.03738081369665669	0.07575690268683358	0.002762723781372079
2140A358CC	2	0.9665056572093546	0.003798196555615895	0.028940423060792402	0.0007557231742369136
2140A358CC	3	0.5571207697763692	0.12361120625431135	0.3103391251397661	0.00892889882955367
2140A358CC	4	0.009827649184615785	0.8950074280320177	0.0920229251376366	0.0031419976457298924
2140A358CC	5	0.7954743158395832	0.04217939868040926	0.15247543436526806	0.00987085111473974
2140A358CC	6	0.013106777881831226	0.8439935405354435	0.1412098365181985	0.0016898450645265947
2140A358CC	7	0.9063377228759962	0.004437033155634114	0.08770552213971887	0.0015197218286508425
2140A358CC	8	0.0336590464211289	0.8094481476485874	0.15062660274813763	0.006266203182146079
2140A358CC	9	0.49689383802246034	0.27323857617901026	0.2268118077291952	0.0030557780693340436
2140A358CC	10	0.15429654493724906	0.2780970191114343	0.5590663803956818	0.008540055555634807
2140A358CC	11	0.005333545333224347	0.9364038232826758	0.05523468287390462	0.00302794851019533
2140A358CC	12	0.9182059946583845	0.03554261749065773	0.03556079126640566	0.010690596584551905
2140A358CC	13	0.30687595499049525	0.04614274029492076	0.6336618556173859	0.013319449097198269
2140A358CC	14	0.7447863260634999	0.09665007611228009	0.15369582095477963	0.0048677768694403295
2140A358CC	15	0.012185115647236662	0.7338364039426014	0.2484795066186559	0.005498973791506161
2140A358CC	16	0.5546170320182976	0.3368217622565175	0.10029232209049738	0.008268883634687264
2140A358CC	17	0.9343509051997377	0.02656070510732185	0.03072860366109675	0.008359786031843487
2140A358CC	18	0.6415719414640828	0.10192104322568778	0.25280181432329724	0.0037052009869322925
2140A358CC	19	0.2535915122622935	0.5630310937269983	0.10607705846608688	0.07730033554462103
2140A358CC	20	0.6032222411136221	0.09997218770595204	0.2658632640599859	0.030942307120439903
2140A358CC	21	0.905965845723922	0.022780500148267484	0.0696917427118433	0.0015619114159671926
2140A358CC	22	0.010046689574004796	0.7918403740195907	0.19040458464944965	0.007708351756954515
2140A358CC	23	0.08454415114808005	0.5707305665745146	0.3285033066447941	0.016221975632611116
2140A358CC	24	0.8302338517472246	0.0397584856571881	0.1130076112544334	0.017000051341153684
2140A358CC	25	0.14672342608217886	0.0692108369558635	0.7590469127064519	0.0250188242555056
2140A358CC	26	0.33246951926420865	0.3021074304420128	0.3505615625218831	0.0148614877718954
2140A358CC	27	0.7110280500249408	0.05642449083117292	0.2139931793900627	0.018554279753823406
2140A358CC	28	0.9342384573277748	0.010778796198519595	0.051237699166319824	0.0037450473073859666
2140A358CC	29	0.5271302764717875	0.07244106393185525	0.39739222013426195	0.0030364394620953257
2140A358CC	30	0.021247794438559193	0.19932916777554982	0.09140090185759718	0.688022135928294
2140A358CC	31	0.7251855222216257	0.15815416273973731	0.1125309487931505	0.004129366245486478
2140A358CC	32	0.21537749554055655	0.6735504167183366	0.10495815032716993	0.006113937413937152
2140A358CC	33	0.5074055097307886	0.07216600880064306	0.4051159797515545	0.015312501717013809
2140A358CC	34	0.66475902389181	0.0627057712183261	0.250741276082256	0.02179392880760765
2140A358CC	35	0.5580942939877529	0.07043686984110752	0.2875115853740238	0.08395725079711558
2140A358CC	36	0.9713344218938241	0.00590656515956536	0.022064643529231414	0.0006943694173791697
2140A358CC	37	0.7903131192192866	0.014615515064681756	0.17166470965252562	0.023406656063505997
2140A358CC	38	0.05749441321843767	0.5334512706018343	0.3596467098527282	0.04940760632700016
2140A358CC	39	0.4776518125072761	0.14168975003083192	0.3740797985334581	0.006578638928433802
2140A358CC	40	0.8976933880768266	0.011984821311210299	0.08611695442010589	0.004204836191856928
2140A358CC	41	0.040161068061231014	0.28628246689770676	0.6634710153304253	0.010085449710636954
2140A358CC	42	0.02829964370058074	0.3022758185810407	0.6049117936194834	0.06451274409889526
2140A358CC	43	0.04088621861607914	0.7190419918327887	0.23035273460489547	0.009719054946236429
2140A358CC	44	0.9685676892174891	0.00596940264260964	0.02138058389185598	0.00408232424804508
2140A358CC	45	0.2338875349551963	0.10785567523681003	0.6504863211586627	0.007770468649331081
2140A358CC	46	0.6732164034389448	0.2062037726329811	0.10871221104007198	0.011867612888001994
2140A358CC	47	0.7688300894808371	0.017890266512085425	0.2055247417711005	0.007754902235977244
2140A358CC	48	0.05086347434176275	0.1425597904991678	0.788410075545294	0.018166659613775282
2140A358CC	49	0.6763751278161247	0.05536628235395689	0.26631192654324387	0.0019466632866744782
2140A358CC	50	0.9219267065289874	0.016330032746514893	0.05574449582149106	0.0059987649030066445
2140A358CC	51	0.004041864741533618	0.035231532561090705	0.06866069609422082	0.8920659066031549
2140A358CC	52	0.025323491315382664	0.5837472390838445	0.38829017652966163	0.0026390930711111954
2140A358CC	53	0.1849489255766474	0.022802649023329843	0.07058479922767634	0.7216636261723463
2140A358CC	54	0.056033424061442495	0.3605283123191489	0.5721912136215711	0.01124704999783734
2140A358CC	55	0.7316340559998451	0.04650796102120845	0.19157353737187216	0.03028444560707421
2140A358CC	56	0.011762577073564278	0.783159445821493	0.1864519339410957	0.018626043163847222
2140A358CC	57	0.695542861420825	0.06539471400149584	0.2055260090430342	0.03353641553464499
2140A358CC	58	0.9715111483648388	0.006365685208643599	0.021119848450922362	0.0010033179755955747
2140A358CC	59	0.4625987198214686	0.11296992894145567	0.35133388196623	0.07309746927084554
2140A358CC	60	0.6074162651990271	0.16909922168928251	0.0931157521833479	0.13036876092834218
2140A358CC	61	0.7965141350160432	0.09146858722452918	0.10257525448158743	0.00944202327783995
