Source Name	Cell ID	PC 1	PC 2	PC 3	PC 4	PC 5	PC 6	PC 7	PC 8	PC 9	PC 10	PC 11	PC 12	PC 13	PC 14	PC 15	PC 16	PC 17	PC 18	PC 19	PC 20	PC 21	PC 22	PC 23	PC 24	PC 25	PC 26	PC 27	PC 28	PC 29	PC 30	PC 31	PC 32	PC 33	PC 34	PC 35	PC 36	PC 37	PC 38	PC 39	PC 40	PC 41	PC 42	PC 43	PC 44	PC 45	PC 46	PC 47	PC 48	PC 49	PC 50	PC 51	PC 52	PC 53	PC 54	PC 55	PC 56	PC 57	PC 58	PC 59	PC 60
608BEE23AA	23	-14.85319739292449	2.075225427325525	3.0864177860836923	0.7371368227327486	3.697782947387117	0.7622290158585106	2.82400179749286	1.6852571593655543	-2.1989531197862466	1.4744293106873128	-0.012094663752143993	1.301092682695614	1.2035278953206359	-0.1508035293560542	0.08535679343185736	1.0824370738020153	-1.1468461310434186	-0.9819780867959227	-1.0815113602935367	0.06001314273942667	-0.5629510975672127	-0.29842321786955806	-0.4367090185990134	-0.49684764909538576	-0.29549695588842106	0.09750095683262176	-0.5363653489684688	0.22253642884521826	0.43218502305710976	0.052475820161518215	-0.302884960539771	-0.29677889592638607	0.2831160423800426	-0.09451356227861746	0.5278537926150217	-0.12987782045905558	0.43814396866798294	-0.16176783886648893	0.4936145086638264	-0.20338105749704272	0.18895644281820823	0.1329958282769771	0.23008550813171483	-0.05209060612510726	-0.2697768546886029	-0.13301057751772644	-0.13259081094436356	0.07972095130097467	-0.05995623700389719	-0.06462435517867285	0.26967048139991445	0.028222758601086098	0.153224997499582	0.14321676928917082	0.036342551678943145	0.010298144208920274	-0.029555124506760407	0.07161253025848802	0.015174338109003241	0.004780170532521229
608BEE23AA	24	3.3944013778500746	4.162289575080392	-0.9283847809565541	-0.7816132343965315	-0.5010039627680557	0.981627658615038	-1.8249895346319955	2.0447505431476123	0.06993608523747868	0.5096020735123792	-0.30938005596594237	-0.16485635835066093	1.2831931980566353	0.14064297993195804	-0.511030856722787	-1.661284882903498	-1.5875196418750461	0.12944872366038343	0.7835263023780126	-0.01038476326754117	0.2574294864460232	0.07483633159243094	-0.5114933261945144	-0.7143874575853436	-0.3072002628980535	-0.048422920823993236	0.36131273542649595	-0.10305975020078799	-0.4114340520918395	-0.19073203867238384	-0.02807131345498021	0.4659774757955059	0.32599811357003	0.259799343924821	-0.17092663116940202	0.11237756826842338	-0.43584288483566297	-0.11773864748925848	-0.1681710611139512	-0.3596642398927386	-0.044658119919327596	-0.18533266845845842	-0.311889955599198	0.1264782202530744	0.026484170083093672	-0.025115728216996074	0.3043071518561137	-0.06412780965430988	0.13925522413325128	0.10579727133398083	-0.004732334078107574	-0.001015273442691925	-0.1029132171842589	-0.04946196268539435	-0.11588572732319817	-0.006500683363935417	-0.0999709873184242	-0.007943611607398504	0.02407970571326735	-0.01454527657360075
608BEE23AA	25	-0.024933951147553077	-1.228583160531858	-0.11101315878095852	2.1084876926589935	-0.9523636196476124	-0.870314618439503	0.8793207551407641	-2.215166259429065	1.3897393134538192	0.03889114527725238	-0.4855953457562499	0.2305912262659478	0.7327429172193036	-0.5851073028274643	0.22356747946299388	-0.17633728021937112	-0.4451831276858244	0.44034544787520175	-0.83396167263451	-0.28042864017438024	-0.3894686299488755	0.5887230916751648	-0.49414201189141455	0.021967553107398608	-0.5101502305511509	0.37594747871386835	-0.5966645506834273	-0.28976033908150906	0.43872306452649246	-0.128298887285686	0.6753184070243003	-0.3408057119122578	1.1028726019568273	-0.34973987095243086	-0.5093404308793322	-0.051339160242528076	0.0891780551691005	1.0753785680120875	-0.351685496040346	-0.27412405748791835	0.2287010665318354	-0.12144203045701317	-0.28075950615503603	-0.035812473876877186	-0.28405784732151507	-0.7740884311840556	-0.6390991978252104	-0.06954427265925522	0.020795043481289393	0.11619137997205616	-0.039906037090592233	0.08614891359388849	-0.12583333655100967	0.12669820015037717	0.12506769843641288	0.008294366639248369	-0.04945085353898421	-0.1140301368755182	-0.055083680209035236	-0.05272620654631436
608BEE23AA	26	8.306500309449763	3.813679336871628	0.9346157018897149	0.4860490809737064	0.8482776656431473	-0.8112995774547039	-0.07858425642401684	1.3516324376098166	-0.407775821747024	1.4560065304523613	-0.16578855111452678	0.5812927340443133	-0.040289695639321464	0.8832592732135719	0.1798433922030031	-0.5693802736636185	0.9249869321291955	0.12119461536292109	0.10210519590099794	-0.5661065571452067	-0.29939571167951745	-0.2695951704953085	-0.02467276486644557	0.0977449788423285	-0.6502107070868139	0.03093942852104178	0.4994032373000957	-0.29746383324498277	-0.10910179697425253	0.08486411928710516	-0.17657533644799298	0.4533910705255895	0.1509891046218874	-0.367124766579482	0.0307560502409699	0.13726644363953638	0.08074497654182591	0.1293236625697087	-0.05871856976397073	-0.180369275922064	-0.15739034625485682	-0.03968912718101859	-0.10847633237078651	0.19167423913355977	-0.04113461465544635	-0.05953162438487612	-0.014286940597982242	-0.1516972270319952	0.24326784519242176	-0.10265050148043837	-0.02971175258371453	-0.06967762517939308	0.062075141449096614	-0.06373486995391658	0.05576375613496477	-0.003961206060597164	-0.021392822482614805	0.02680411179395635	-0.03234298588091453	-0.013783084547891214
608BEE23AA	27	-1.1870150117032359	1.5050023817429197	1.7630688887382275	-0.2814924772794039	-1.91164085567186	0.2460388431728528	1.6337611199642392	-1.0426271064824728	-1.5967429322112128	0.6256043118173915	-0.9549352239257832	-0.03506560580181663	0.14044396328964096	0.5576872046067638	-0.025006519358650454	-0.2531570783866453	0.30246367431597543	1.008508949918515	0.4681471542997854	0.03799687042298261	-0.45069492960452995	0.03659416089065394	0.9785344557892034	-0.767942045896204	0.22458718678328335	0.43849369908901903	0.04510552509712177	-0.34579448384319983	0.20652000338317952	-0.06690816875680075	0.389525539623795	0.4752053058844554	-0.09988196573058017	-0.19189455245120088	-0.170083222677405	-0.012656370421921064	0.35201235772380995	-0.6335977511768153	-0.19383384691395714	0.2593352309495805	0.05812484143585038	-0.07197754928022589	0.4262642390521533	-0.31779420586967877	0.008579770294598154	0.18071870668722187	0.124361088414707	0.006475314988033991	-0.11971553271842396	-0.11639123923676296	0.2340845571802915	0.06335404348670938	0.15440302921657043	0.02385840037019769	-0.038149283399027754	0.04676411411797099	-0.10123509748279333	0.030589023442115088	-0.0935671091019216	0.008449025181099785
608BEE23AA	28	-5.350639356979701	0.8172572968478844	2.5431277903908884	-0.7554532619545926	-2.2543248499928223	1.6674883507270786	-0.8387220545593186	-0.46283689605424705	-2.51672903822408	1.031762556498664	-0.5814010011854444	0.5543758485074808	0.8254661865722166	-0.755056654858478	0.5364834163255401	0.15855360107678	-0.4979063791317842	0.11959513721915946	-0.48807710853931274	0.5800304306508535	-0.41347582934755744	-0.2166780471032995	-0.09703234209396226	0.16790687340077712	1.6389747171288636	0.033985050840467664	0.682732007356084	-0.3257872119103437	0.1658648692151952	-0.44996638718343906	0.2398445828299652	-0.5432800892740494	-0.2146879742461001	-0.21369213181492527	-0.4559068137584727	0.6004542693621707	-0.48159407929570724	0.01592439322270214	0.4908333796222397	-0.06258052006147757	0.0896792548550232	0.11699363405492828	0.26922080876814486	-0.09021398285198577	-0.05689722983696248	0.2601086168318967	0.10019617050816587	0.027533803860554044	-0.26451505262884484	-0.1639414663867781	-0.23170244748897204	-0.010886948077097749	-0.08683687549317329	0.07095312109947534	-0.03479198996721095	0.020057940235997964	-0.10580762784698698	-0.02132758315987507	-0.01822972394311886	-0.029763015324378278
608BEE23AA	29	0.6998236780737432	2.6713866919712945	-3.330291700663963	-0.364863904758176	-1.425207758511756	-0.8579634120380267	-0.20688959683649177	-0.603634302753221	-0.053622801515217644	0.5197565185348237	0.18789615022355236	-0.10401473271827603	-0.2051849816418408	-0.03339826411242311	1.76793634917961	0.9270878804876557	-0.11304272945822436	-0.3959946876673999	-0.6253172587986336	0.19643029172205975	-0.8903885492620371	-0.16387463313351042	0.07691043000190187	-0.004867066411238667	-0.4724613850482243	0.6661725545881516	0.15809747918207742	-0.057327564922796545	0.392599923784276	-0.20604800881755952	0.11653346815572366	0.08254071026191935	-0.24780681030911084	-0.17650411022141463	-0.011887689713126526	-0.18746820399770606	0.37783041790824534	-0.004206141706820172	-0.13203506073853657	-0.2194388591304073	0.1494361375728307	0.47427659344051704	0.05320436355673841	0.5298445143244286	0.08935337003621238	0.4157076972657223	-0.07600123172464472	0.087037665880273	0.026224572097732535	-0.13455497468270816	0.189638538382898	0.04880414122228263	-0.044006262717033146	-0.06455451370237025	0.01163096968765508	-0.011378325543874464	0.11408548234179654	-0.05307335070744128	-0.02994903089798429	-0.04965965545635918
608BEE23AA	30	-8.027326540824134	-0.07465075043999196	-1.2323176588800295	-1.2720934417036622	0.6400042241951315	1.1161857239641715	0.25337865252731107	-0.28544038844415426	-1.6499424536544027	-0.0574307941259278	-0.9155314166844087	1.3515333239376892	-0.3260458970975582	0.5059936148067755	0.40046249679026286	-0.358480995663092	1.4336269662559664	0.22428894570393873	0.46890550582994833	-0.35088075943388847	1.0972520907148782	0.2613657812390731	0.10733161217505387	0.633103152642638	0.10791571295036118	0.605083606525667	0.0325590485413002	0.5498381053656688	-0.7170226918562952	-0.12831789264647162	-0.6188262095124497	0.1434574222748953	-0.4955919656179764	-0.035718308544045216	-0.048052546028230426	0.006054050449333127	-0.1788673510678644	-0.02981629313494881	0.4678962720589838	-0.32146744363347474	0.25870909280473076	0.08072516022047439	0.09597568385346504	0.21761023114536063	0.23668263239488696	-0.24430496326031897	-0.29061630279445927	-0.13659606822380074	0.08318895601085524	0.7405628570940748	-0.1330605038264071	0.2616432489717531	0.023342318207045416	0.10630571495423648	0.05189633114839024	0.049370421079906524	0.04508471434044076	0.19860444489985782	0.2127937220932194	-0.12910112774606972
608BEE23AA	31	-0.8694198322138343	-0.13100232848941773	-0.9952265966041056	0.9977242133031571	-2.6807753954388622	0.585031019865621	2.0277008042516056	-0.3998372834569392	0.7743106998578767	-0.10651863094601437	-0.9130530559153458	-0.4881591540426488	-0.6291491674019892	-0.8090287164608091	1.1698309730491219	0.38930077797735135	-0.4077285237314921	-0.6445663093320552	0.38563580294623073	-0.02763159285271536	0.2269245358462173	0.17881895474380924	-0.02672089683865923	0.16136227241337922	-0.245129250721133	0.10514835638335956	0.24424598092939712	0.17286800351041526	0.1240278859440742	-0.16998066644186205	0.17505585692852776	0.29178037203305585	-0.3994564928727656	-0.11434867208273557	0.3331000260761632	-0.42821680400502166	-0.2641554084281916	0.23315725844805754	0.060768210727221064	0.19569109384419284	-0.4365184223619744	0.2325736329084347	-0.20032269357005164	-0.0755450421548086	0.09917621597199212	-0.2445259538465563	0.024747582572340502	0.48218145491950803	-0.04179150525409245	0.06510428130055868	-0.01978833999471245	0.11351951302844984	0.091669909161955	0.14437723377976996	-0.013391297075547502	0.03463526231395848	0.08091989198024042	0.11157664794758229	0.09236753100631183	-0.0014726153456410156
608BEE23AA	32	1.7133935372171847	2.2342141812045475	0.4853247127092519	-0.7704828204529081	-0.7862464454965822	-1.797164478361608	-0.6018324417913588	-2.5328516553141496	1.8072190646538229	-1.0348059992094383	0.8178750727216959	0.4785849019205328	-0.5597772839365838	0.32524550707224287	-0.37103886005193093	0.38671189994980465	-0.49303327175133865	-0.6476518602683392	-0.2136601266708598	0.7653991763187185	-1.2365042102046924	-0.41376244914245347	-0.006573071366701995	-0.2598472215500765	-0.5411111425517404	-0.15293701413503064	-0.5547715891061804	-0.4038837169836601	-0.42277871379465426	0.08462079014532077	0.27771899018207286	0.25675736511365305	-0.343249313485119	-0.6143743289057559	0.20011994609228584	-0.34211339718814615	-0.12430894755203921	0.21638138653276878	-0.02339192516825284	-0.2643267094845786	0.05838458089037561	0.10247163707963658	0.2507594000176021	0.0691525157747305	0.5285915373845673	0.21664547392766545	0.032635724193560076	-0.10425704553078712	0.03808791698832412	0.15469422455039206	-0.03327516236196062	0.34780806162841094	-0.15962150234866382	0.01561886481092723	0.09272289033718462	0.10627430580053443	0.010379370540542849	-0.01727261439867266	0.029597675093485716	0.028886230523161454
