Source Name	Cell ID	pea3 spot count
BACFB0475A	1	5.877515884494428
BACFB0475A	2	3.033117729266227
BACFB0475A	3	3.7305444871745017
BACFB0475A	4	7.602862625579098
BACFB0475A	5	8.372760258611383
BACFB0475A	6	7.3866828712787616
BACFB0475A	7	5.64554012263413
BACFB0475A	8	8.497326589498432
BACFB0475A	9	9.833854594325167
BACFB0475A	10	6.084978808119446
BACFB0475A	11	6.9087317164525315
BACFB0475A	12	7.592939099562185
BACFB0475A	13	5.198299067158811
BACFB0475A	14	6.63624254170932
BACFB0475A	15	7.403810618581838
BACFB0475A	16	5.462412972253867
BACFB0475A	17	6.656760549448838
BACFB0475A	18	6.434636130236706
BACFB0475A	19	2.2037952301604715
BACFB0475A	20	8.656473727271834
BACFB0475A	21	2.9676808017877
BACFB0475A	22	9.760549672000653
BACFB0475A	23	13.640206348280508
BACFB0475A	24	7.311841615924057
BACFB0475A	25	9.031225889045771
BACFB0475A	26	9.065777346305147
BACFB0475A	27	5.718893186060174
BACFB0475A	28	4.915734740452039
BACFB0475A	29	8.020062466262651
BACFB0475A	30	10.327465575386768
BACFB0475A	31	10.749346560981795
BACFB0475A	32	10.076114499444657
BACFB0475A	33	10.939804068714096
BACFB0475A	34	9.463120845029348
BACFB0475A	35	12.467654715304757
BACFB0475A	36	14.154458647031493
BACFB0475A	37	4.885966397590631
BACFB0475A	38	7.23800210273143
BACFB0475A	39	4.2627113314567895
BACFB0475A	40	4.543621287843852
BACFB0475A	41	14.127618143100793
BACFB0475A	42	7.513072993726363
BACFB0475A	43	10.752005246026613
BACFB0475A	44	8.607192561282577
BACFB0475A	45	6.315676583850854
BACFB0475A	46	3.601460626734892
BACFB0475A	47	2.02236717409388
BACFB0475A	48	17.406317952641608
BACFB0475A	49	6.564730889288912
BACFB0475A	50	11.194333045072014
BACFB0475A	51	7.02672678866827
BACFB0475A	52	5.831456829324523
BACFB0475A	53	10.081701678761359
BACFB0475A	54	7.963984319337382
BACFB0475A	55	6.287233989892267
BACFB0475A	56	9.487187565088398
BACFB0475A	57	3.7971259980420635
BACFB0475A	58	8.404077426612691
BACFB0475A	59	2.948121250673812
BACFB0475A	60	5.953696369992545
BACFB0475A	61	6.989641964396858
