Source Name	Cell ID	PC 1	PC 2	PC 3	PC 4	PC 5	PC 6	PC 7	PC 8	PC 9	PC 10	PC 11	PC 12	PC 13	PC 14	PC 15	PC 16	PC 17	PC 18	PC 19	PC 20
9CB73DC13A	1	-0.6825569660735018	-0.3565134667902806	0.4434260884772216	-0.27893492955009264	0.4705204634476453	0.2053264758383107	-0.006916266159684538	-0.011837217240981213	0.2150277201454395	0.10642711139042849	-0.04491292349875575	-0.04515139841118003	0.03625342931401944	-0.10730482647087768	-0.12323026945231222	-0.06792255341633971	0.03660437992647245	0.02642881710187915	-0.030190930389588633	0.019583191828503214
9CB73DC13A	2	1.0395937500934729	1.524608073535554	0.7162389574183332	-0.5216638393641204	-0.4840920120229642	-0.46213176526075456	-0.1380235492899646	-0.2032471517332471	0.21533444460871196	-0.3916933258555252	-0.17404047843283796	-0.30310313372562786	-0.04747701112023208	-0.10750593226493337	0.07826836594892474	0.01750573538007599	0.077239178610578	-0.001426973875319773	0.10814810370607267	0.0014135084213107133
9CB73DC13A	3	2.334691900193	0.996329957113974	0.6376378111693737	-0.6398518621346935	-0.10725495282232952	-0.4085003861645809	0.002912609109963069	-0.04345238922037492	0.16170470771045672	-0.17146133779200712	-0.10275323705308544	-0.10544572236225105	0.005072507760709085	-0.10703820126272824	0.026440927881403068	0.003871104974271974	0.055190114362994855	0.0015286009674102261	0.057209841151802505	0.02689349959858505
9CB73DC13A	4	0.11620473465253514	-0.0392602851722747	0.41150216926371713	-0.7321477416736852	0.37355406359442356	-0.03809878981381327	-0.23452298531080726	0.1327134844067769	0.25121094375625547	-0.10042572222903182	-0.10408100892445901	-0.27428431179950125	0.08107870758294826	-0.05556859720182653	0.07148720022847412	-0.1445880904524701	0.0992538973437419	-0.04939690879998802	0.04149190482061275	-0.04212383981404721
9CB73DC13A	5	2.8421509833278717	0.07631356417873085	0.5527433956022839	-0.22058175068580416	-0.07733825219685049	-0.10013812799707505	0.03324477632015423	0.13582570904400904	-0.18969966753853046	0.0640513743030348	0.023741262287047874	0.07411712149639316	-0.027677416647737343	0.07045752383075428	0.12038150235010804	0.13047659975925413	0.02527303469247889	-0.003664053657047436	-0.020943232078541287	-0.007625583576224086
9CB73DC13A	6	1.9968778271217384	1.0878270346682142	0.47233304645701746	-0.5525900433427554	-0.3319368721006526	-0.43238776807351476	-0.07506937958192514	-0.11890750226454577	0.20752573577960917	-0.23243814837715038	-0.14476588269561474	-0.22425275255886423	0.013622416041876749	-0.08464928170371376	0.06964203108941695	0.006661777090858385	0.06627610051856538	-0.007467413883922426	0.06859401212413438	0.037029761261307734
9CB73DC13A	7	0.6628118317244945	-0.6197474188012573	-0.09523942802547297	0.3044677128847345	0.42127491195471484	0.30751631475924396	0.21944895248516977	0.003280377696873977	-0.05014660253386784	0.24833128192377896	0.1278007144010946	0.2653402543333288	0.001727705826297586	-0.0037866513335791437	-0.13278801002198737	-0.031979714778399435	-0.04605872921927915	0.020707089464059556	-0.039455196345272704	0.003078977609600871
9CB73DC13A	8	1.4035778330709943	0.7447494300243019	0.6739960766018849	-0.40738419677041177	-0.024626480028297447	-0.179217673121968	-0.20533258501620427	0.03660563669656168	0.11938222109223302	-0.04844369053127339	-0.12277078295521245	-0.15636956015819906	-0.00021979202692770807	-0.01856546388263822	0.07465412639487723	0.01796300590352199	0.032404731505679914	-0.024473923714504082	0.023040377058773813	-0.016807610948866177
9CB73DC13A	9	-0.9623559580992783	-0.060927720158362446	0.03484050122245202	0.08874380350616193	0.05098350446236274	0.016114934414967176	-0.15059860780830028	0.0793610150597517	-0.03979298628902517	-0.023044767126746173	-0.07336726187540986	-0.08592392152611962	0.016012464083746236	-0.001977428251458278	0.024268869622708123	-0.020097966592819812	-0.0011219713149743385	-0.0017516429539758552	0.004868070839137756	0.0066887960191277275
9CB73DC13A	10	5.607786189679182	-0.21370599499269627	0.19197947909443996	-0.270787147194482	0.5965397661018982	0.39529516941121723	0.44786847998002566	-0.005165486706014854	0.07648985635763825	0.36421305674820204	0.14920264451365764	0.4471082773025191	-0.03934401117413792	-0.09291178638624693	-0.08588707582429478	-0.015529739847162678	-0.08036943669612998	-0.012305468079952503	-0.06262859580549207	-0.04094570815047964
9CB73DC13A	11	1.8098517030831418	0.5248994516064516	0.692834027219378	-0.778660639890816	0.20872179897306958	-0.16798680381450717	0.004425259339010049	0.012994821391755854	0.24960497854935043	-0.0324990079124452	-0.13087586753437372	-0.19396285037259112	0.020755315292827713	-0.10867862705646916	0.014874110117253633	-0.04190803266867027	0.04491037544937209	0.02483019060830112	0.044073151417262785	-0.012126499239176742
9CB73DC13A	12	1.115734941821835	-0.4002117329430478	0.18003202730219525	-0.12201659618639858	0.17521417147080115	0.12425651323268315	0.04650838895410224	0.11496562476615776	-0.07998759656782757	0.1410098329876408	0.01811954555862087	0.08965860142237334	-0.021117667092933688	0.036718163250958245	-0.007587056356435828	0.026606564308139104	0.027359585279615344	0.004161159468900816	-0.016510219459517934	0.0132580251926914
9CB73DC13A	13	-0.45460321354883326	0.12718027595991535	0.13285110582795132	-0.30426383035771054	-0.24113774779334737	-0.2492275727371552	0.003224845682620627	0.049035285784441565	0.05530870056747216	-0.19831860280305594	-0.054877065241860874	-0.11244060125424843	0.003541226619268329	-0.022874265555635365	-0.03584208220847772	-0.0026604703386398075	0.047013059029802774	0.010022959321943874	0.030802666607893697	0.07273782800450945
