Source Name	Spot Number	Z	Y	X	Spot Sigma
4404F99D93	1	97.0	646.0	884.0	1.3333333333333333
4404F99D93	2	97.0	350.0	554.0	1.3333333333333333
4404F99D93	3	97.0	178.0	140.0	1.3333333333333333
4404F99D93	4	96.0	420.0	887.0	2.0
4404F99D93	5	96.0	198.0	470.0	1.3333333333333333
4404F99D93	6	95.0	89.0	398.0	1.6666666666666665
4404F99D93	7	94.0	745.0	237.0	1.3333333333333333
4404F99D93	8	93.0	468.0	1055.0	1.3333333333333333
4404F99D93	9	92.0	187.0	1478.0	1.6666666666666665
4404F99D93	10	91.0	86.0	624.0	1.3333333333333333
4404F99D93	11	90.0	669.0	1472.0	1.3333333333333333
4404F99D93	12	90.0	570.0	568.0	1.3333333333333333
4404F99D93	13	90.0	513.0	1279.0	1.6666666666666665
4404F99D93	14	90.0	511.0	1163.0	1.6666666666666665
4404F99D93	15	90.0	488.0	937.0	1.6666666666666665
4404F99D93	16	90.0	401.0	387.0	1.6666666666666665
4404F99D93	17	90.0	291.0	543.0	1.3333333333333333
4404F99D93	18	90.0	276.0	1482.0	1.3333333333333333
4404F99D93	19	90.0	203.0	1026.0	1.3333333333333333
4404F99D93	20	90.0	188.0	1490.0	1.6666666666666665
4404F99D93	21	90.0	165.0	836.0	2.0
4404F99D93	22	89.0	765.0	665.0	1.3333333333333333
4404F99D93	23	89.0	724.0	784.0	2.6666666666666665
4404F99D93	24	89.0	641.0	137.0	1.3333333333333333
4404F99D93	25	89.0	580.0	508.0	1.3333333333333333
4404F99D93	26	89.0	575.0	339.0	1.3333333333333333
4404F99D93	27	89.0	572.0	245.0	1.3333333333333333
4404F99D93	28	89.0	540.0	819.0	1.3333333333333333
4404F99D93	29	89.0	522.0	741.0	1.3333333333333333
4404F99D93	30	89.0	505.0	1140.0	1.6666666666666665
4404F99D93	31	89.0	468.0	1327.0	1.3333333333333333
4404F99D93	32	89.0	373.0	954.0	1.6666666666666665
4404F99D93	33	89.0	318.0	464.0	1.3333333333333333
4404F99D93	34	89.0	223.0	1223.0	2.333333333333333
4404F99D93	35	89.0	77.0	1199.0	1.6666666666666665
4404F99D93	36	89.0	77.0	1015.0	1.3333333333333333
4404F99D93	37	88.0	751.0	339.0	1.3333333333333333
4404F99D93	38	88.0	708.0	444.0	1.6666666666666665
4404F99D93	39	88.0	685.0	1567.0	1.3333333333333333
4404F99D93	40	88.0	660.0	687.0	1.3333333333333333
4404F99D93	41	88.0	658.0	881.0	2.0
4404F99D93	42	88.0	555.0	819.0	1.3333333333333333
4404F99D93	43	88.0	527.0	282.0	1.6666666666666665
4404F99D93	44	88.0	486.0	1099.0	1.3333333333333333
